n,date,domain,lang,reg,title,url,article_kind,primary_voice,vg,voice_name,voice_affiliation,projected_bloc_seats,stance,claim_strength,no61_kind,stated_probability,p61,side,key_quote,key_quote_en,summary,quote_verified,text_source,snapshot
1,2022-05-01,allisrael.com,en,il_en,i just spent an hour with benjamin netanyahu looking tanned rested and ready is a comeback in the cards for the former prime minister,https://allisrael.com/i-just-spent-an-hour-with-benjamin-netanyahu-looking-tanned-rested-and-ready-is-a-comeback-in-the-cards-for-the-former-prime-minister,opinion,author,media,Joel C. Rosenberg,ALL ISRAEL NEWS,,0.5,0.6,n/a,,0.75,bloc61,"I can't tell you whether another political comeback is in the cards for Netanyahu. But I can tell you that I have no doubt that Bibi and his team are ready to try, and they feel increasingly confident that they will succeed.","I can't tell you whether another political comeback is in the cards for Netanyahu. But I can tell you that I have no doubt that Bibi and his team are ready to try, and they feel increasingly confident that they will succeed.","Author Rosenberg reports Netanyahu appears confident and ready for a political comeback; Likud is surging in polls (35–38 seats projected) and Bennett's coalition is fragile, but Rosenberg explicitly declines to predict whether Netanyahu will actually return to power.",True,live,
2,2022-05-03,kikar.co.il,he,he,"נתניהו מזנק ל-36 מנדטים, גוש הימין - 59",https://kikar.co.il/418009.html,poll,poll,polls,Rafi Smith Institute,Rafi Smith Institute / Galei Tzahal (Israeli Radio),59,-0.4,0.85,deadlock,,0.3,no61,סקר חדש שפורסם הבוקר (שלישי) מעלה כי גוש הימין מתחזק ל-59 מנדטים,A new poll published this morning (Tuesday) shows that the right-wing bloc strengthens to 59 seats,"A Rafi Smith poll projects Netanyahu's right-wing bloc at 59 seats, falling 2 short of the 61-seat majority needed to form a government.",True,live,
3,2022-05-03,inn.co.il,he,he,מיכאל מלכיאלי: היו לנו 61 לממשלת ימין אם לא היה לבנט השיגעון להיות ראש ממשלה,https://inn.co.il/news/548692,interview,politician_bloc,bloc,Michael Malchieli,"Shas faction chair, Knesset",61,0.5,0.7,n/a,,0.75,bloc61,"יש בכנסת מעל 65 מנדטים ששייכים לגוש הימין, כולנו יודעים שאם לא היה לבנט השיגעון להיות ראש ממשלה היו לנו 61.","There are over 65 mandates in the Knesset belonging to the right-wing bloc; we all know that if it weren't for Bennett's madness to be prime minister, we would have had 61.",Shas faction chair Malchieli asserts that the right-wing bloc has over 65 seats and would have achieved 61 for a Netanyahu government if Bennett had not insisted on being PM; he expresses confidence in forming a Netanyahu-led government as the preferred option.,True,live,
4,2022-05-04,israelnationalnews.com,en,il_en,Shas MK: We would have had a majority of 61 if it were not for Bennett,https://israelnationalnews.com/news/326903,interview,politician_bloc,bloc,Michael Malkieli,Shas,,0.5,0.7,n/a,,0.75,bloc61,"Among the many options – the formation of a government headed by Netanyahu in this Knesset is the preferred option - and it is possible. There are more than 65 seats in the Knesset that belong to the right-wing bloc, we all know that if Bennett did not have that crazy desire to be Prime Minister, we would have had a government with a majority of 61.","Among the many options – the formation of a government headed by Netanyahu in this Knesset is the preferred option - and it is possible. There are more than 65 seats in the Knesset that belong to the right-wing bloc, we all know that if Bennett did not have that crazy desire to be Prime Minister, we would have had a government with a majority of 61.","Shas MK Malkieli asserts that a Netanyahu-led right-wing government with 61+ seats is possible and was achievable in the current Knesset, but was blocked by Bennett's ambitions; Shas is committed to supporting Netanyahu.",True,live,
5,2022-05-07,israelhayom.co.il,he,he,"דעה | בקואליציה של 60 כל ח""כ הופך למלך | ישראל היום",https://israelhayom.co.il/news/politics/article/10687797,opinion,author,media,,Israel Hayom,,0,0.3,unclear,,0.5,uncertain,"בקואליציית 60 כל חבר כנסת היה נסיך, עכשיו כל חבר כנסת עומד להיות מלך... האם המצב שבו הכנסת מנוטרלת יסתיים בפירוק הממשלה? הגיוני שכן, אבל כלל לא בטוח.","In a 60-seat coalition every MK was a prince, now every MK is about to be a king... Will the situation where the Knesset is neutralized end in government dissolution? Logically yes, but not at all certain.","The author speculates that a 60-seat coalition (implying loss of the current 61-seat majority) would face severe dysfunction and possible collapse, but explicitly states this outcome is uncertain.",False,live,
6,2022-05-08,timesofisrael.com,en,il_en,Ra'am MK calls for party to quit coalition as opposition plans bid to topple gov't,https://timesofisrael.com/raam-mk-calls-for-party-to-quit-coalition-as-knesset-to-vote-on-toppling-government,news,analyst,media,Times of Israel reporting,Times of Israel,,-0.5,0.7,deadlock,,0.25,no61,"However, it remains unlikely that the opposition can muster the 61 votes necessary to dissolve the Knesset and force new elections.","However, it remains unlikely that the opposition can muster the 61 votes necessary to dissolve the Knesset and force new elections.","Times of Israel reports that while the opposition plans a no-confidence vote, it remains unlikely they can muster 61 votes to topple the government; Ra'am's continued coalition membership is uncertain pending Temple Mount negotiations.",True,wayback,20220508125103
7,2022-05-09,bhol.co.il,he,he,"רע""מ תישאר מחוץ לכנסת? סקר מפתיע בצל פתיחת מושב הקיץ",https://bhol.co.il/news/1383126,poll,poll,polls,Channel 13 News (Prof. Kamil Fuchs),Channel 13 News,52,-0.5,0.85,deadlock,,0.25,no61,"במפת הגושים, המפלגות המרכיבות את הקואליציה הנוכחית מגיעות ל-53 מנדטים מול 59 מנדטים אצל מפלגות גוש הימין-חרדים באופוזיציה בכנסת הנוכחית. בתווך, המשותפת עם שמונת המנדטים שלה. ... גם בסקר הנוכחי אין לאף אחד מהצדדים 61","In the bloc map, the parties making up the current coalition reach 53 seats versus 59 seats for the right-wing and ultra-Orthodox parties in opposition in the current Knesset. In between, the Joint List with its eight seats. ... even in the current poll, neither side has 61.","A Channel 13 News poll (Prof. Kamil Fuchs, May 2022) projects Netanyahu's right-wing/ultra-Orthodox bloc at 52 seats (Likud 36 + Religious Zionism 9 + Shas 7 + UTJ 7 minus 7 for Yamina), falling short of the 61-seat majority needed, with no side reaching 61.",True,wayback,20220509193746
8,2022-05-09,israelhayom.co.il,he,he,"גורם בלשכת בנט: ""הולכים בכול הכוח על החלפת רע""מ ביהדות התורה"" | ישראל היום",https://israelhayom.co.il/news/politics/article/10754829,news,politician_bloc,bloc,Moshe Gafni / United Torah Judaism,United Torah Judaism (Yahadut HaTorah),,-0.7,0.75,opposition_forms_govt,,0.15,no61,"הממשלה הנוכחית אינה זוכה לאמון העם וללא רוב בכנסת, פוגעת פעם אחר פעם בציבור החרדי והמסורתי. נמשיך לעשות הכל להחלפתה בממשלה לאומית","The current government does not enjoy public trust and without a Knesset majority, harms the haredi and traditional public repeatedly. We will continue to do everything to replace it with a national government","United Torah Judaism and Shas declare they will work to replace the current government with a national (right-wing) government, opposing the current coalition's lack of majority and partnership with Ra'am, while Bennett's office pursues replacing Ra'am with UTJ to stabilize the coalition.",True,live,
9,2022-05-10,timesofisrael.com,en,il_en,"Poll: In new elections, coalition parties would sink to just 53 seats",https://timesofisrael.com/poll-in-new-elections-coalition-parties-would-sink-to-just-53-seats,poll,poll,polls,Channel 13 news survey (Kamil Fuchs),Channel 13,59,-0.4,0.85,deadlock,,0.3,no61,"The results showed that the opposition bloc led by MK Benjamin Netanyahu would have 59 seats, while parties that make up the current coalition would have just 53... 2 short of a majority, in continuation of political stalemate, survey finds","The results showed that the opposition bloc led by MK Benjamin Netanyahu would have 59 seats, while parties that make up the current coalition would have just 53... 2 short of a majority, in continuation of political stalemate, survey finds","A Channel 13 poll projects Netanyahu's opposition bloc at 59 seats, falling 2 short of the 61-seat majority needed to form a government, indicating continued political deadlock.",True,wayback,20220510135219
10,2022-05-10,haaretz.com,en,il_en,.premium israel election this party is setting up a trap for voters tired of netanyahu 1.9638720,https://haaretz.com/israel-news/elections/.premium-israel-election-this-party-is-setting-up-a-trap-for-voters-tired-of-netanyahu-1.9638720,analysis,author,media,,Haaretz,,-0.5,0.7,unclear,,0.25,no61,"The majority of Israelis say they don't want four more years of Netanyahu and the ultra-Orthodox parties leading the country. But in this election, a vote for Naftali Bennett's Yamina will produce exactly that","The majority of Israelis say they don't want four more years of Netanyahu and the ultra-Orthodox parties leading the country. But in this election, a vote for Naftali Bennett's Yamina will produce exactly that","Haaretz analysis argues that voting for Bennett's Yamina, despite anti-Netanyahu sentiment, will paradoxically enable a Netanyahu-led government with ultra-Orthodox parties.",True,live,
