n,date,domain,lang,title,url,article_kind,primary_voice,voice_name,voice_affiliation,stance,claim_strength,predicted_scope,timeframe,stated_probability,p_full,brier,score,side,key_quote,key_quote_en,summary,quote_verified,text_source,snapshot
1,2021-11-21,interfax.ru,ru,Украинская разведка приготовилась к нападению России в январе-феврале 2022 года,https://interfax.ru/world/804185,news,official_ukrainian,Кирилл Буданов (Kyrylo Budanov),"Головне управління розвідки (GUR), Ministry of Defence of Ukraine",0.85,0.9,full_scale,January–February 2022,,0.925,0.006,99,invasion,"Россия сосредоточила у границ Украины более 92 тыс. военнослужащих и готовится к нападению в конце января или начале февраля 2022 года. Такая атака, вероятно, будет включать авиаудары, артиллерийские и бронетанковые атаки, за которыми последуют воздушно-десантные атаки на востоке страны, десантные атаки в Одессе и Мариуполе.","Russia has concentrated more than 92,000 military personnel at Ukraine's borders and is preparing for an attack in late January or early February 2022. Such an attack will likely include air strikes, artillery and tank attacks, followed by airborne attacks in the east of the country, amphibious attacks in Odesa and Mariupol.","Ukrainian military intelligence chief Budanov asserts Russia has 92,000+ troops massed and will launch a full-scale multi-vector invasion (air strikes, armor, airborne, amphibious) in late January or early February 2022, with assessments aligned to US intelligence.",True,live,
2,2021-11-24,mk.ru,ru,"На Украине объяснили, почему на нее не нападет Россия",https://mk.ru/politics/2021/11/24/na-ukraine-obyasnili-pochemu-na-nee-ne-napadet-rossiya.html,news,analyst,Карасев (политолог),,-0.7,0.6,none,unspecified,,0.15,0.722,28,no_invasion,"Когда есть внутренняя борьба между политическими элитами, властью, оппозицией или олигархами, то зачем внешняя война?","When there is internal struggle between political elites, authorities, opposition or oligarchs, why would there be external war?","Ukrainian political analyst Karasev argues Russia will not attack Ukraine because internal political divisions make external war unnecessary, countering claims by Ukrainian intelligence chief Budanov and Western media that invasion is planned for late January or early February 2022.",True,live,
3,2021-11-24,ukrinform.net,en,Russian invasion of Ukraine unlikely to be 'imminent',https://ukrinform.net/rubric-polytics/3356621-russian-invasion-of-ukraine-unlikely-to-be-imminent-reuters.html,news,intelligence,Western intelligence officials and Reuters sources,"Western intelligence, IISS",-0.65,0.75,full_scale,imminent (disputed); January-February per Ukrainian intelligence,,0.175,0.681,32,no_invasion,"Reuters spoke to more than a dozen sources, including Western intelligence officials and Russians familiar with Kremlin thinking, and nearly all agreed that an invasion is unlikely to be imminent.","Reuters spoke to more than a dozen sources, including Western intelligence officials and Russians familiar with Kremlin thinking, and nearly all agreed that an invasion is unlikely to be imminent.","Western intelligence and Reuters sources assess full-scale Russian invasion is unlikely to be imminent, though Ukrainian intelligence warns of possible January-February invasion from multiple directions; experts debate Putin's intentions as signaling versus genuine threat.",True,wayback,20211129150358
4,2021-11-24,mk.ru,ru,Назван интерес Зеленского в войне с Россией: последний шанс,https://mk.ru/politics/2021/11/24/nazvan-interes-zelenskogo-v-voyne-s-rossiey-posledniy-shans.html,news,official_ukrainian,Yuriy Kiva (Ukrainian MP),Ukrainian Parliament,-0.75,0.8,none,unspecified,,0.125,0.766,23,no_invasion,"Также Кива подчеркнул, что Москве нет смысла вводить войска на Украину, так как российские власти терпеливо наблюдают за тем, как Украина движется к своему концу.","Kiva also emphasized that Moscow has no reason to introduce troops into Ukraine, as Russian authorities patiently observe how Ukraine moves toward its end.",Ukrainian MP Yuriy Kiva argues Russia has no reason to invade Ukraine and will instead wait for internal collapse; Western media reports of invasion are dismissed as disinformation.,True,live,
5,2021-11-24,unian.net,ru,В Кремле назвали условие нападения на Украину,https://unian.net/war/v-kremle-nazvali-uslovie-napadeniya-na-ukrainu-novosti-donbassa-11620804.html,news,official_russian,Fyodor Lukyanov,"Kremlin, Council on Foreign Affairs of Russia",0.6,0.7,full_scale,conditional/unspecified,,0.8,0.04,96,invasion,"В Кремле заявили, что Российская Федерация нападет на Украину, если она присоединится к НАТО... 'России придется изменить систему и провести новые красные линии'",The Kremlin stated that the Russian Federation will attack Ukraine if it joins NATO... 'Russia will have to change its system and draw new red lines',"Kremlin adviser Fyodor Lukyanov states Russia will attack Ukraine if it joins NATO, framing this as explanation for military buildup; Ukrainian FM acknowledges full-scale invasion threat exists but says Kyiv is working to prevent it; Western sources report concern over Russian troop movements.",True,live,
6,2021-11-24,reuters.com,en,Analysis: Putin's Ukraine gambit seen as part of play for new Biden summit,https://reuters.com/world/putins-ukraine-gambit-seen-part-play-new-biden-summit-2021-11-24,analysis,analyst,Vladimir Frolov,independent foreign policy analyst (former Russian diplomat),0.3,0.4,unclear,unspecified,,0.65,0.122,88,invasion,"While Putin's Ukraine gambit has multiple goals and an attack on Ukraine cannot be ruled out, one of Moscow's priorities is to get Biden's attention so that he will agree to another summit.","While Putin's Ukraine gambit has multiple goals and an attack on Ukraine cannot be ruled out, one of Moscow's priorities is to get Biden's attention so that he will agree to another summit.","Analysts close to Russian foreign policy (Frolov, Kortunov) suggest Putin's troop movements are primarily leverage for a Biden summit rather than preparation for imminent invasion, though attack cannot be ruled out; Western officials express alarm while Russia denies aggressive intent.",True,wayback,20211124160718
7,2021-11-24,atlanticcouncil.org,en,How to Deter Russia Now,https://atlanticcouncil.org/blogs/ukrainealert/how-to-deter-russia-now,analysis,author,Atlantic Council (Eurasia Center),Atlantic Council,0.65,0.75,full_scale,2-3 months (by end of January 2022),,0.825,0.031,97,invasion,The Biden administration judges that there is a real possibility that Russian President Vladimir Putin may decide to launch a new invasion of Ukraine in the next 2-3 months despite the high costs Moscow would incur.,The Biden administration judges that there is a real possibility that Russian President Vladimir Putin may decide to launch a new invasion of Ukraine in the next 2-3 months despite the high costs Moscow would incur.,"The Atlantic Council, citing Biden administration assessments, judges there is a real possibility Putin will launch a full-scale invasion of Ukraine within 2-3 months, though acknowledging it may be an elaborate bluff; the article recommends deterrence through sanctions and diplomacy.",True,live,
8,2021-11-24,pbs.org,en,"Why Russia may end its 'unstable ceasefire' with Ukraine, and how U.S. politics affects it",https://pbs.org/newshour/show/why-russia-may-end-its-unstable-ceasefire-with-ukraine-and-how-u-s-politics-affects-it,news,analyst,Andrew Weiss,Carnegie Endowment for International Peace,0.7,0.75,full_scale,coming months,,0.85,0.023,98,invasion,he is thinking about undoing the unstable cease-fire that's been in place since the war in 2014 and 2015 was at its bloodiest... There is probably going to be in the coming months a very elevated sense of tension in and around Ukraine.,he is thinking about undoing the unstable cease-fire that's been in place since the war in 2014 and 2015 was at its bloodiest... There is probably going to be in the coming months a very elevated sense of tension in and around Ukraine.,"Andrew Weiss (Carnegie Endowment) assesses that Putin is signaling intent to end the ceasefire and may launch a full-scale invasion in coming months, emboldened by Western division and U.S. focus on China, though he notes the Biden administration is trying to balance deterrence without provocation.",True,live,
9,2021-11-24,dw.com,en,Die Welt: Sankcje na Nord Stream 2 mają powstrzymać eskalację na wschodniej Ukrainie | Niemcy – bieżąca polityka niemiecka. Wiadomości DW po polsku | DW,https://dw.com/pl/die-welt-sankcje-na-nord-stream-2-maj%C4%85-powstrzyma%C4%87-eskalacj%C4%99-na-wschodniej-ukrainie/a-59918166,news,mixed,Die Welt / Andrij Melnyk / US intelligence services,German newspaper / Ukrainian Embassy in Berlin / US intelligence,0.65,0.7,full_scale,unspecified,,0.825,0.031,97,invasion,Miecz Damoklesa pod postacią szeroko zakrojonej inwazji Putina wisi nad głową Ukrainy na bardzo cienkiej nici,The sword of Damocles in the form of Putin's large-scale invasion hangs over Ukraine's head by a very thin thread,Die Welt reports that US intelligence fears Putin may use a transitional period to annex large parts of Ukraine; Ukrainian ambassador Melnyk warns of an unprecedented military threat and a large-scale invasion looming over Ukraine.,True,live,
10,2021-11-25,valdaiclub.com,ru,War Between Russia and Ukraine: A Basic Scenario?,https://valdaiclub.com/a/highlights/war-between-russia-and-ukraine-a-basic-scenario,analysis,author,Ivan Timofeev,Valdai Club,-0.65,0.75,full_scale,unspecified,,0.175,0.681,32,no_invasion,"Even if one fails to write off this scenario as a reflection of existing phobias and nationalist complexes, it still seems unlikely for a number of reasons... the costs of a possible war far outweigh the benefits. The war is fraught with significant risks to the economy, political stability and Russian foreign policy.","Even if one fails to write off this scenario as a reflection of existing phobias and nationalist complexes, it still seems unlikely for a number of reasons... the costs of a possible war far outweigh the benefits. The war is fraught with significant risks to the economy, political stability and Russian foreign policy.","Ivan Timofeev (Valdai Club) argues that while a full-scale Russian military invasion of Ukraine is theoretically possible and has been outlined by Western commentators, it remains unlikely because the costs far outweigh benefits and create unacceptable risks to Russia's economy, diplomacy, and domestic stability.",True,live,
